label,titel,text,ämne
0,Gängkriminella infiltrerar kommuner — Varför vill regeringen göra det svårare att upptäcka dem?,"Medan skandalerna om gängkriminella som fått anställning i känsliga offentliga verksamheter fortsätter dugga tätt kan regeringen mycket väl komma att göra det svårare att göra bakgrundskontroller. Det varnar Gunnar Axén, som driver rättsdatabasen och publikationen Verifiera.",Politik
0,Ludvig Aspling (SD): Snart kommer utländska brottslingar alltid utvisas,"Ett gruppvåldtäktsfall i Göteborg har uppmärksammats för att ingen av de utländska gärningsmännen utvisas. Ludvig Aspling, migrationspolitisk talesperson för Sverigedemokraterna, förklarar varför lagen ser ut som den gör, och när Tidöregeringen kommer att ändra den.",Lag och rätt
0,Ryckte halsband från 91-årig kvinna  Mångkriminell syrier utvisas,"Karam Kanjo kom till Sverige från Syrien 2015, och har levt som kriminell under hela sin tid i landet. Tidigare har han begått rån, narkotikamissbruk, misshandel, och våldtäkt, och nu döms han för ett hänsynslöst rån mot en 91-årig kvinna. Denna gång döms han till utvisning.",Kriminalitet
0,Frigiven våldtäktsman rånar och knuffar 91-årig pensionär,"En chockerande attack på en 91-årig kvinna har fångats på övervakningsfilm vid Sollentuna pendeltågsstation. Kvinnan var på väg att besöka sin bortgångne makes grav när hon blev överfallen av 26-årige Karam Kanjo, en syrisk medborgare som var villkorligt frigiven efter att ha avtjänat straff för våldtäkt. På filmen syns hur Kanjo smyger sig på kvinnan, knuffar henne nedför en trappa och snabbt rycker av henne ett guldhalsband. Halsbandet fick hon av sin make för 50 år sedan. Efter attacken blev kvinnan liggande, medan en grupp yngre personer som bevittnat händelsen vände bort och lämnade platsen utan att ingripa.Karam Kanjo är tidigare dömd för en rad våldsbrott. Vid tillfället för detta brott var han villkorligt frigiven för en våldtäktsdom med påföljden 2 år och sex månader.",Kriminalitet
0,Bert Karlsson: SD hade rätt,"I ett klipp från söndagen den 3 november gick Bert Karlsson igenom flera artiklar som varit en del av massmedias långvariga smutskastningskampanj mot Sverigedemokraterna, som framförallt handlat om migrationsfrågan. Bland dessa räknar han bland annat Lars Lindströms krönika i Expressen: Lyssna inte på Åkesson    lyssna på forskarna (2021). Han uttrycker kritik mot hur SD behandlats i det offentliga samtalet, och konstaterar att SD har haft rätt trots allt..Man sätter åt de ärliga (...) här har vi den här fantastiska mannen på Aftonbladet. (...) Här ifrågasätter han Åkesson för att han hade fel om det mesta. Om man är lite klarsyn så måste man väl erkänna att det här partiet var de som hade rätt. Det fanns ingen annan som sa något annat. Här har vi de som är ansvariga för skuggsamhället: det är de som ville ha så många flyktingar som möjligt i Sverige    sen om de klarar sig, det struntar man totalt i. Här har vi en förföljelse utav SD.",Politik
0,Riikka Purra: Dagens Nyheter sprider felaktigheter om finska regeringen ," I artikeln av DN (16.9) påstås det att Finlands regering knakar i fogarna. Man också hänvisar till att i Finland är det vanligt att partier som står på ytterkanten också kan vara en del av regeringen. För det första är Sannfinländarna inget parti på ytterkanten på Finlands politiska karta. Sannfinländarna kan beskrivas som ett patriotiskt parti, vilket står för demokrati, frihet och ansvarsfull samhällsekonomisk politik. I frågor som gäller invandring, skiljer sig Sannfinländarna inte nämnvärt från trenden i övriga Europa, som blir hela tiden mer invandringskritisk. Den nuvarande regeringen kommer att anpassa sin asylpolitik med en gemensam nordisk linje. Tyskland är ett varnande exempel vad som kan hända, om man baserar asylpolitik bara på så kallade humana värdena och ignorerar problem, som invandring förorsakar. Finland har en lång tradition av koalitionsregeringar. Därför är det naturligt att regeringspartier tycker olika i flera politiska frågor. I frågan om arbetskraftsrelaterad invandring, vilken nämndes i DN’s artikel, är det regeringsprogrammet, som styr politiken. Inom regeringspartierna kan man ha egna uppfattningar utan att man borde befara någon svårlöst regeringskris. I alla nordiska länderna har patriotiska partier antingen suttit i regering eller agerat som stödparti till regering. Det är ett bevis på att patriotiskt tänkande har blivit mainstream i vår region. Vänsterliberala debattörer i Norden har ännu inte helt accepterad den här politiska utvecklingen. De dåliga statsfinanserna är vid sidan av den interna säkerheten den största utmaningen i Finland just nu. Finland ligger under Sverige i den ekonomiska matchen, eftersom Finlands ekonomi inte har vuxit sedan finanskrisen 2008 och skuldbördan har ökat på ett okontrollerat sätt. Den nuvarande regeringskonstellationen är den enda som har varit redo att ta itu med svårigheter i Finlands ekonomi och genomföra nödvändiga reformer för att öka ekonomisk tillväxt i landet. Alla regeringspartier är eniga att nu är den sista stunden nalkas för att rädda det finländska välfärdssamhället, som är garantin för ett värdigt liv och välbefinnande för alla medborgare",Politik
0,Videon om Northvolt som Magdalena Andersson inte vill att du ser,"Magdalena Andersson hyllar Miljöpartiet för batterifabriken Northvolt    en “framgång” som nu kantas av miljardskulder, dödsfall och varsel. Samtidigt kräver Miljöpartiet att regeringen ska rädda det krisande projektet. Det är symptomatiskt för vänstersidan: skapa problemen, och lämna städjobbet till nästa regering. Precis som med kriminaliteten    där Socialdemokraterna importerar problemen, för att sedan kräva att någon annan ska lösa dem.",Politik
0," Nej, Svenska kyrkan ska inte finansiera islamism","Beslutet att dra in statsbidraget till det islamistiska studieförbundet Ibn Rushd har väckt starka reaktioner, särskilt inom Svenska kyrkan. Prästkandidaten Adrian Edenborg argumenterar för att kyrkan bör stötta Ibn Rushd ekonomiskt, trots anklagelser om spridning av antidemokratiskt material och kopplingar till Muslimska brödraskapet. Kritiken mot förbundet rör allt från homofobi och kvinnoförakt till främjandet av sharialagar, vilket har lett till en intensiv debatt om kyrkans roll och ansvar i frågan.",Religion
0,Profiterar polisen på gängkriminaliteten?,"Richard Sörman krönika. När Magdalena Andersson och Ardalan Shekarabi presenterade socialdemokratiska förslag mot nyrekryteringen av unga till de kriminella gängen nämnde de två åtgärder som redan står omnämnda i Tidöavtalet. Socialdemokraternas plågsamma situation består i att den enda rätta politik de själva kan bedriva inom migration och brottslighet redan företräds av deras värrsta fiende. Advokaten Kristofer Stahre påstår att polisen tjänar på den invandrade gängkriminaliteten eftersom de har fått se sina löner höjas på grund av våldet. Men hur är det med advokatyrket, profiterar inte de på gängen?",Kriminalitet
0,Trudeaus Kanada är ett farligt wokefäste ,Hela västvärlden dryper nu av dumma ursäkter från politiker som vill inskränka människors frihet. Se Miras krönika om den så kallade kampen mot näthatet och dess fula tryne,Politik
0,Ulf Kristersson lovar slut på massinvandringen    Men är det det?," Statsminister Ulf Kristersson och migrationsminister Maria Malmer Stenergard (M) konstaterar i en debattartikel att Sverige inte kan lösa några problem med okvalificerad massinvandring, och sticker bland annat hål på myten att migranter på något sätt skulle hindra att befolkningen åldras. Men vad är haken? Har Reinfeldts gamla parti verkligen ändrat sig? Riks panel bestående av Daniella, Linn, och Elias diskuterar artikeln.",Politik
