label,titel,text,ämne
1,Så väntas Ryssland svara på amerikanska långdistansvapnen i Ukraina: ”Vill inte eskalera med väst och dra in ytterligare länder emot sig”,"Ukraina får slå mot mål i Ryssland med amerikanska långdistansvapen, enligt uppgifter. Frågan som många ställer sig nu är hur Kreml kommer att svara. Jag tror inte att Ryssland vill eskalera med väst och dra in ytterligare länder emot sig, säger Johan Norberg, militäranalytiker på FOI.Långdistansrobotarna som redan skickats till Ukraina har en räckvidd på 300 kilometer.Om Ukraina får börja använda vapnen mot ryskt territorium kan de alltså skjuta långt bakom frontlinjen.Kriget i UkrainaRyska drönare med västerländska delar – kringgår sanktionernaJohan Norberg, militäranalytiker vid Totalförsvarets forskningsinstitut FOI, tror att det framförallt skulle hindra Ryssland från att få fram mer resurser till fronten.Tänkbara mål skulle kunna vara olika typer av transportinfrastruktur, vapenförråd och eventuellt truppansamlingar, säger han.– Det förutsätter två saker. Dels att Ukraina har fått tillräckligt många robotar, och att man har bra underrättelser. Det vill säga att man har information så att man träffar rätt mål i rätt tid och på rätt plats.Kan användas med drönareDrönare kan användas i kombination med robotar som ett sätt att ”mätta” motståndarens luftvärn, vilket Ukraina i så fall skulle kunna göra med långdistansvapen mot Ryssland, säger Johan Norberg.– Ukraina har ju kunnat skicka drönare ganska djupt in i Ryssland, men då kan man även kombinera det med robotar och kanske få en ganska stor kombinationsverkan.Den militära effekten återstår att se. Det hänger också ihop med vilka villkor som USA sätter upp för användning av långdistansvapnen.Så kan Ryssland reageraOm USA godkänner att vapnen används mot ryska mål, så kommer Ryssland sannolikt hota om att fler länder kan dras in i kriget, säger Johan Norberg.Han tror att Kreml också vill visa sig starka just nu, med tanke på eventuella fredsförhandlingar med Trump-administrationen.Men det är inte särskilt troligt med militära insatser utanför Ukraina, menar militäranalytikern. Det eftersom Ryssland redan är uttröttat av kriget.– Ryssland vill gärna ge en bild av att kriget går utan större problem för dem. Så är det inte och jag tror näppeligen att man vill ha större operationer i andra riktningar än Ukraina just nu, framför allt vad gäller markstridskrafter.",Ukraina
1,Skjutning i galleria i Kungens kurva – en till sjukhus ”Vill inte eskalera med väst och dra in ytterligare länder emot sig”,"En skottlossning har inträffat vid Kungens kurva, i Huddinge söder om Stockholm. En person har förts till sjukhus. Bara timmar senare kom larm om skottlossning i en annan del av Huddinge. Enligt uppgifter till Aftonbladet är en person gripen misstänkt för båda händelserna.Runt lunchtid på måndagen ska en man ha skjutits med flera skott inuti en galleria på handelsområdet i Kungens kurva i Huddinge kommun. Mannen fördes med ambulanshelikopter till sjukhus.– En man har skjutits inomhus i en restaurang som ligger i anslutning till en livsmedelsbutik i Kungens kurva. Han var kraftigt påverkad av skadorna men vaken och talbar, och har förts till sjukhus med helikopter, säger polisens presstalesperson Daniel Wikdahl.Vd:n för matbutiken där händelsen inträffade bekräftar att den som skjutits är en anställd.– Vi vill framhäva att det inte finns någon känd hotbild mot företaget. Nu ligger vårt fokus på att ta hand om alla våra medarbetare. det är klart det är skakigt, så man måste ta hand om dem, säger Vd:n, som var på plats i butiken men inte såg själva händelsen.”Våra tankar är med de drabbade”Polisen har inlett en förundersökning om försök till mord, och tidigare under dagen uppgav man att jakten på en gärningsman pågår.Enligt Daniel Wikdahl fanns det många vittnen på platsen, som nu ska höras.Har de sett själva händelsen?– Ja, men jag kan inte gå in på vad de har berättat.Huddinge kommun skriver på sin hemsida att de har trygghetsvärdar och annan personal på plats under måndagseftermiddagen.Larm om ny skjutningSenare på eftermiddagen fick polisen in larm om att en person med skjutvapen befunnit sig i ett industriområde i Huddinge söder om Stockholm. Man utreder om det kan finnas någon koppling till skjutningen i Kungens kurva tidigare idag.Enligt uppgifter till Expressen och TV4 har en 14-åring gripits, misstänkt för båda händelserna. Men polisens presstalesperson Daniel Wikdahl vill inte kommentera om det stämmer eller inte.",Kriminalitet
1,Man skjuten i köpcentrum,"Flera skott har avlossats inne på en restaurang i köpcentrumet Kungens kurva i Huddinge söder om Stockholm. En man har förts till sjukhus med ambulanshelikopter.– En person har träffats och skadats. Han var kraftigt påverkad av sina skador men vaken och talbar, säger polisens presstalesperson Daniel Wikdahl till TT.Polisen fick larm om skottlossningen kl 11:39. Händelsen utreds som mord- försök. Polisen har både övervaknings- kameror och många vittnesuppgifter till hjälp i utredningen.",Kriminalitet
1,Tre häktade för dödsskjutning,"Tre personer har häktats misstänkta för mord efter dödsskjutningen av en kvinna i 60-årsåldern i Akalla i oktober, skriver SVT Stockholm.Det var den 22 oktober som polisen larmades till ett bostadshus i Akalla i norra Stockholm. På platsen hittades kvinnan död, med skottskador.Kvinnan var mamma till en känd gängkriminell, enligt SVT:s uppgifter.De tre personerna häktades i Solna tingsrätt under söndagen. Åklagaren Alexandra Brittner säger att alla tre är häktade misstänkta för mord.",Lag och rätt
1,Hot och våld inom socialtjänsten,"38 procent av Sveriges socialsekreterare har utsatts för hot eller våld under de senaste två åren, visar en ny undersökning.Motsvarande siffra 2022 var 37 procent och 2019 svarade 35 procent att de blivit utsatta för hot eller våld.Akademikerförbundet SR vill sjösätta en trygghetskommission, där fack, arbetsgivare och staten ska kunna sätta in rätt åtgärder.Förbundets Heike Erkers betonar vikten av att öppna för frågan då det riskerar att påverka yrkets attraktion.",Samhälle
1,Miljöpåverkan oundviklig vid krig – det kan Sverige lära sig av Ukraina,"Om det skulle bli krig i Sverige är det oundvikligt att även miljön påverkas. Men det finns åtgärder som kan vidtas – före, under och efter ett krig.– Det är lätt tänka att det finns andra saker som är viktigare och mer akuta, men vi ska ju bo kvar här så det är inte helt oviktigt, säger Annica Waleij, vid Totalförsvarets forskningsinstitut, FOI.Där krig härjar, där pågår miljöförstörelse. För Sveriges del finns det lärdomar att dra av miljöeffekter från både historiska och nutida konflikter.Annica Waleij, senior analytiker vid Totalförsvarets forskningsinstitut i Umeå, har skrivit en rapport med förslag på åtgärder för att skydda Sveriges miljö vid händelse av krig.Hon tycker att Sverige borde jobba mer aktivt med den här frågan.– Det görs ju rätt mycket när det gäller skydd av kulturarv vid händelse av krig och ett liknande arbete borde göras kring miljö-, natur- och resursfrågor, säger hon.Så kan Sverige drabbasOm Sverige skulle drabbas av krig kan vi förvänta oss till exempel sprängda dammar, attacker på kritisk infrastruktur och sargade markområden, enligt Annica Waleij.– Dammar, kärnkraftverk, elförsörjning och vattenverk är ju inte militära mål utan civila mål. Det vi kan se i Ukraina är att Ryssland följer inte krigets lagar och det får ju konsekvenser.Konsekvenser som bland annat översvämningar, utsläpp av föroreningar, och inverkan på djur och natur.Ukraina ett föredöme för SverigeI sin rapport föreslår Anica Waleij flera åtgärder. I fredstid är det exempelvis viktigt att samla information om kritisk infrastruktur, miljödata och satellitbilder. När kriget pågår behöver man systematiskt dokumentera vad som händer, för att skapa en historik av förstörelsen.– Här är Ukraina ett föredöme. Det görs ett väldigt omfattande kartläggningsarbete och man engagerar även lokalbor som fotograferar. Det kommer de att ha igen efter kriget. Och det krävs också om man ska kunna ställa någon till svars för krigsbrott.Efter ett krig behövs metoder anpassade för att relativt snabbt kunna göra grova bedömningar av miljökonsekvenser och verktyg för att prioritera rätt åtgärder.– Det här är inte något en aktör kan göra ensam, utan det krävs att många aktörer jobbar med de här frågorna. Och det måste finnas en politisk vilja för att avsätta resurser till arbetet, säger hon.",Klimat
1,Rökfyllt plan landade på Arlanda,"Kabinen på ett passagerarflygplan blev fyllt av rök och tvingades landa på Arlanda, rapporterar SVT Nyheter.193 personer befann sig på flygplanet, enligt Swedavias presstjänst.Planet ska ha varit på väg från Gdansk i Polen till Tromsö i Norge när det uppstått rökutveckling i kabinen.Det landade vid 19.15-tiden och Peter Wärring, pressansvarig på Swedavia, beskriver landningen som ”normal”.Varför röken uppstod är ännu oklart, enligt Storstockholms brandförsvar.",Transport
1,Ebba Busch (KD) vill se över invandrares rätt att rösta,"KD-ledaren Ebba Busch vill se över invandrares rätt att rösta i kommun- och regionval, och förlänga tiden man måste ha bott i Sverige för att få rösta. Det säger hon till Aftonbladet.Regeringen har tillsatt en utredning som arbetar med förslag om skärpta krav för medborgarskap. Utredningen ska presenteras i januari nästa år.Ebba Busch, Kristdemokraternas partiledare och vice statsminister, vill också se över reglerna för hur länge man ska behöva ha bott i Sverige för att få rätt att rösta i allmänna val.– Vi tillåter människor ganska lättvindigt att rösta i kommunval. Det kan flippa en majoritet i en hel kommun, säger Ebba Busch till Aftonbladet.Ett sådant scenario har ännu inte skett, konstaterar Aftonbladet.Anger ingen gränsFör alla som är EU-medborgare och bor i ett annat EU-land går det att rösta och ställa upp som kandidat i kommunalval och val till Europaparlamentet i det landet, och villkoren är alltså desamma som för landets medborgare. För personer som är medborgare i länder utanför EU är i dag kravet att man ska ha varit folkbokförd i tre år för att få rösta.– Där kan man fundera på var årsgränsen ska gå, säger Busch till Aftonbladet utan att gå in på var hon vill att gränsen ska gå.SD: Ska krävas medborgarskapBland Tidöpartierna har Sverigedemokraterna i flera år haft som ståndpunkt att det enbart är svenska medborgare som ska ha rösträtt i Sverige. Partiledaren Jimmie Åkesson sade redan för över tre år sedan i en intervju med Svenska Dagbladet att det inte är rimligt att utländska medborgare ska få rösta i valen till region- och kommunfullmäktige.– Själv tycker jag det är fullt rimligt att det enbart är svenska medborgare som ska ha rösträtt i alla allmänna val i Sverige, sade Åkesson till SvD.Strömmer (M): En väg in i samhälletJustitieminister Gunnar Strömmer (M) har tidigare sagt att han tycker att det är bra att göra skillnad på nationella val och valen till region- och kommunfullmäktige.– Möjligheten till delaktighet i beslutfattandet i det som angår medborgarna lokalt är en väg in i det svenska samhället, sade Strömmer i en interpellationsdebatt i riksdagen i fjol, efter en fråga från en Sverigedemokratisk riksdagsledamot.– Vi finns i en nordisk tradition och en nordisk gemenskap där vi har skiljt på nationella angelägenheter som är exklusiva för medborgare, och att efter en tid släppa in människor i lokalsamhället i en delaktighet som påverkar människor lokalt men som inte är avgörande för landet Sveriges vägval framåt, sade Strömmer också.",Politik
1,De kan prisas som årets ledare och lag på Idrottsgalan 2025,"Årets lag och ledare ska utses på Idrottsgalan 2025.Här är de nominerade.Nu är det klart vilka som är nominerade till Idrottsgalan 2025 i kategorierna årets lag och ledare.Frågan är om det blir någon av OS-medaljörerna, eller herrstafettlaget i skidskytte.Årets LagVilma Bobeck & Rebecca Netzler – SeglingDuon tog ett sensationellt OS-silver under spelen i Paris. Det var nämligen Bobeck/Netzlers OS-debut.Herrlandslaget – Bordtennis Anton Källberg, Kristian Karlsson, och Truls Möregårdh skrällde sig hela vägen till final där man föll mot stornationen Kina.Herrstafettlaget – SkidskytteDet blev ett VM-guld efter stor dramatik och en duell med grannationen Norge.David Åhman & Jonatan Hellvig – BeachvolleybollDuon har gått från klarhet till klarhet. OS-debut och guld direkt för firma Åhman/Hellvig. Dessutom harÅrets LedareKajsa Bergqvist – FriidrottRasmus Jonsson & Anders Kristiansson – BeachvolleybollJohannes Lukas – SkidskytteJörgen Persson – BordtennisIdrottsgalan hålls den 20 januari på Strawberry Arena och går att se i SVT.",Sport
1,Här knockas domaren i NHL-mötet – bars av på bår,"Domaren fick en tryckare i ryggen av Josh Manson, av misstag.Sedan bars han ut på bår.– Kolla fallet – det är det som oroar mig, säger kommentatorn.Colorado Avalanche besegrade i natt Philadelphia Flyers med 3-2 efter dubbla mål av Cale Makar.Men det var en mer ovanlig situation som hamnade i händelsernas centrum.Lite mindre än halvvägs in i den första perioden fick sig domaren Mitch Dunning en tryckare i ryggen och föll handlöst på isen – och landade på ryggen.Sedan bars han av isen på bar – och matchen fortsatte med en domare och två linjedomare.– Jag hoppas att han är okej. Man vill aldrig att sådana olyckor ska ske, det är väldigt tufft. Jag hoppas han är okej, säger Makar till NHL.comDunning fördes till sjukhus som försiktighetsåtgärd där alla neurologiska tester som gjorts inte ska ha påvisat någon skada.",Sport
